Name,Done,主題,類型,來源,Link,Property
Vue.js Fast Crash Course,No,Web前端,課程,Udemy,https://www.udemy.com/vuejs-fast-crash-course/learn/v4/overview,
精通 VueJS 前端開發完全指南,No,Web前端,課程,hiskio,https://hiskio.com/courses/145/lectures/5481,
Modern React with Redux,No,Web前端,課程,Udemy,https://www.udemy.com/react-redux/learn/v4/overview,
React 16 完全精通,No,Web前端,課程,hiskio,https://hiskio.com/courses/215/lectures/9113,
CSS - MASTERING ANIMATIONS,No,Web前端,課程,Udemy,https://www.udemy.com/css-mastering-animations/learn/v4/overview,
"Building a TodoMVC Application in Vue, React and Angular",No,Web前端,課程,Udemy,https://www.udemy.com/todo-mvc/learn/v4/overview,
NoSQL: Neo4j and Cypher (Part: 1-Beginners),No,DB,課程,Udemy,https://www.udemy.com/neo4j_beginners1/learn/v4/overview,
NoSQL: Neo4j and Cypher (Part: 2-Intermediate),No,DB,課程,Udemy,https://www.udemy.com/neo4j_intermediate/learn/v4/overview,
When does white space matter in HTML?,No,Web前端,文章,medium,https://medium.com/@patrickbrosset/when-does-white-space-matter-in-html-b90e8a7cdd33,
HTML Standard,No,Web前端,文章,,https://whatwg-cn.github.io/html/multipage/,
為什麼每個初學者前端開發人員都應該知道發布 - 訂閱模式？,No,Web前端,文章,,https://itnext.io/why-every-beginner-front-end-developer-should-know-publish-subscribe-pattern-72a12cd68d44,
An OAuth 2.0 introduction for beginners,No,Web前端,文章,,https://itnext.io/an-oauth-2-0-introduction-for-beginners-6e386b19f7a9,
混沌工程简介,No,Web前端,文章,,https://www.jianshu.com/p/4bd4f88e24e4,
初學者的 Prototype,No,Web前端,文章,,https://blog.akanelee.me/posts/276909-beginners-of-prototype/,
HTTP codes as Valentine’s Day comics,No,Web前端,文章,medium,https://medium.com/@hanilim/http-codes-as-valentines-day-comics-8c03c805faa0,
The rise of cloud native programming languages,No,Web前端,文章,,https://hackernoon.com/the-rise-of-cloud-native-programming-languages-211a5081f1b2,
improve your motion,No,Web前端,文章,medium,https://medium.com/@elcferreira/improve-your-motion-2ae6475641ca,
How I built a mood changing animation using CSS masks,No,Web前端,文章,medium,https://medium.freecodecamp.org/how-i-built-a-mood-changing-animation-using-css-masks-565b16ed051f,
How I explained MapReduce to my Wife?,No,Web前端,文章,,https://www.pixelstech.net/article/1314519773-How-I-explained-MapReduce-to-my-Wife,
GraphQL,No,Web前端,文章,,http://graphql.cn/,
Why we moved our graphQL server from Node.js to Golang,No,Web前端,文章,medium,https://medium.com/safetycultureengineering/why-we-moved-our-graphql-server-from-node-js-to-golang-645b00571535,
微服务架构技术栈选型手册,No,Web前端,文章,,http://www.infoq.com/cn/articles/micro-service-technology-stack?utm_campaign=CodeTengu&utm_medium=web&utm_source=CodeTengu_117,
What's the Difference Between DevOps and SRE?,No,Web前端,影片,youtube,https://www.youtube.com/watch?v=uTEL8Ff1Zvk&feature=youtu.be,
quick-SQL-cheatsheet,No,DB,文章,github,https://github.com/enochtangg/quick-SQL-cheatsheet,
PWM sample,No,Web前端,Code,github,https://github.com/polymer/pwa-starter-kit,
Password and Credential Management,No,資安,文章,medium,https://medium.com/@harwoeck/password-and-credential-management-in-2018-56f43669d588,
Web Hacking for Beginners,No,資安,課程,Udemy,https://www.udemy.com/hacking-websites-for-beginners/learn/v4/overview,
Cloud Ethical Hacking : Use Kali Linux on Amazon AWS,No,資安,課程,Udemy,https://www.udemy.com/cloud-hacking/learn/v4/overview,
Build an Advanced Keylogger using C++ for Ethical Hacking!,No,資安,課程,Udemy,https://www.udemy.com/how-to-create-an-advanced-keylogger-from-scratch-for-windows/learn/v4/overview,
Practice Your First Ethical Hacking with Metasploit and Kali,No,資安,課程,Udemy,https://www.udemy.com/practice-your-first-ethical-hacking-with-metasploit-and-kali/learn/lecture/14758284#overview,
練習軟體,No,資安,Code,github,https://github.com/The-Art-of-Hacking/art-of-hacking/tree/master/vulnerable_servers,
算法思想,No,線上題庫,Code,github,https://github.com/CyC2018/Interview-Notebook/blob/master/notes/Leetcode%20%E9%A2%98%E8%A7%A3.md,
DB題解,No,線上題庫,Code,github,https://github.com/CyC2018/Interview-Notebook/blob/master/notes/Leetcode-Database%20%E9%A2%98%E8%A7%A3.md,
,No,,,,,
,No,,,,,
,No,,,,,
,No,,,,,
